,stock_code,date,open,close,low,high,adjust,volume,Current_Assets,Short_term_financial_investments,Cash_and_cash_equivalents,Short_term_receivables,Inventories,other_short_term_assets,Non_current_assets,long_term_receivable,Fixed_assets,Long_term_assets_in_progress,Liabilities,Current_liabilities,Short_term_borrowing,Long_term_liabilities,Owners_equity,Other_fund,Tỷ lệ ghi sổ FVTPL và AFS trên VCSH ,Tỷ lệ cho vay trên vốn chủ ,Tăng trưởng LN ròng 4 quý liền kề so với cùng kỳ năm trước,Tăng trưởng Doanh thu thuần 4 quý liền kề so với cùng kỳ năm trước,ROAE ,ROAA ,Tỷ lệ nợ vay trên vốn chủ ,Tăng trưởng Vốn chủ sở hữu so với đầu năm,sma,smma,ema,wma,rsi,macd,atr,bandwidth,hull,ichimoku_cline,ichimoku_bline,ichimoku_lsa,ichimoku_lsb,ichimoku_lgp,lsma,mom_osc,ao,momemtum,coppock,changes
30,VND,2016-11-14,12.3,12.0,11.8,12.3,1.33,202011,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,12.364285714285714,11.535587821191415,12.384909429804232,12.214285714285714,11.914285714285715,-0.49033802999059084,0.41299370328886054,0.04989675998079536,12.004761904761903,0.0,0.0,0.0,0.0,0.0,11.914285714285715,-32.90676416819013,0.0,-0.5,-0.1474233813560302,-0.008264462809917326
31,VND,2016-11-15,12.2,12.0,11.9,12.2,1.33,464559,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,12.299999999999999,11.476029441343469,12.333588172497,12.165714285714285,11.897142857142859,-0.4795735777054926,0.40492272448251326,0.045990684955222516,11.998619047619048,0.0,0.0,0.0,0.0,0.0,11.897142857142859,-32.72227314390467,0.0,-0.3000000000000007,-0.14213186950856074,0.0
32,VND,2016-11-16,12.1,12.0,12.0,12.2,1.33,188265,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,12.235714285714286,11.415997897046896,12.2891097494974,12.125714285714286,11.905714285714282,-0.46567466406098035,0.3902853870194765,0.03888108769491355,11.984190476190475,0.0,0.0,0.0,0.0,0.0,11.905714285714282,-32.598714416896236,0.0,-0.1999999999999993,-0.13523270443057986,0.0
33,VND,2016-11-17,12.0,11.9,11.8,12.0,1.32,192434,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,12.171428571428573,11.356000150210935,12.237228449564414,12.08095238095238,11.900000000000002,-0.4574555760026193,0.3766935736609424,0.03192833452754804,11.954619047619046,0.0,0.0,0.0,0.0,0.0,11.900000000000002,-32.47470101195952,0.0,-0.1999999999999993,-0.12448926581921081,-0.008333333333333304
34,VND,2016-11-18,12.0,11.7,11.7,12.0,1.3,168388,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,12.107142857142856,11.295999989270644,12.165597989622492,12.01809523809524,11.84,-0.4617573665437593,0.3712154612565894,0.03150685527508826,11.894619047619047,0.0,0.0,0.0,0.0,0.0,11.84,-54.71349353049908,-0.8985714285714312,-0.5,-0.1137993187375982,-0.01680672268907572
35,VND,2016-11-21,11.8,11.6,11.5,11.8,1.29,285023,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,12.042857142857141,11.23600000076638,12.090184924339493,11.950476190476191,11.765714285714289,-0.46784273102421103,0.3661286425954045,0.0330448120455139,11.802761904761905,0.0,0.0,0.0,0.0,0.0,11.765714285714289,-77.30232558139535,-0.9042857142857148,-0.7000000000000011,-0.10798355484905535,-0.008547008547008517
36,VND,2016-11-22,11.6,11.7,11.6,11.9,1.3,890796,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,11.999999999999998,11.197428571373829,12.038160267760894,11.904761904761905,11.714285714285714,-0.45930171765676775,0.36140516812430423,0.03392334963994041,11.71838095238095,0.0,0.0,0.0,0.0,0.0,11.714285714285714,-55.410447761194035,-0.9000000000000004,-0.3000000000000007,-0.10520109102146122,0.008620689655172384
37,VND,2016-11-23,11.7,11.9,11.7,11.9,1.32,278600,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,11.978571428571428,11.178755102044727,12.019738898726109,11.891428571428571,11.717142857142854,-0.4314214169539934,0.3498762275439969,0.03289949725494037,11.683666666666666,0.0,0.0,0.0,0.0,0.0,11.717142857142854,-55.846585594013085,-0.8985714285714259,-0.29999999999999893,-0.10052682522052381,0.017094017094017186
38,VND,2016-11-24,11.9,11.8,11.8,11.9,1.31,103150,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,11.957142857142859,11.15866034985395,11.990440378895961,11.867619047619048,11.688571428571427,-0.4126386011104639,0.3320279255765685,0.033281692418600003,11.676666666666666,0.0,0.0,0.0,0.0,0.0,11.688571428571427,-55.722326454033755,-0.8500000000000014,-0.29999999999999893,-0.08489170955834698,-0.008403361344537785
39,VND,2016-11-25,11.8,11.7,11.7,11.8,1.3,149085,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,11.921428571428573,11.124381403581861,11.951714995043167,11.833333333333334,11.657142857142858,-0.4011974935280911,0.3154545023210994,0.03305719406622828,11.676190476190474,0.0,0.0,0.0,0.0,0.0,11.657142857142858,-55.59736594543744,-0.8157142857142858,-0.3000000000000007,-0.07925231497245928,-0.00847457627118656
40,VND,2016-11-28,11.7,11.5,11.5,11.7,1.28,745035,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,11.864285714285714,11.069687042601297,11.891486329037411,11.777142857142856,11.60285714285714,-0.40361602754727954,0.30720775215530655,0.032865368004710765,11.648619047619047,0.0,0.0,0.0,0.0,0.0,11.60285714285714,-55.3875236294896,-0.7700000000000014,-0.5,-0.077741885053566,-0.017094017094017033
41,VND,2016-11-29,11.5,11.4,11.4,11.6,1.26,123640,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,11.821428571428571,11.030736639814194,11.82595481849909,11.715238095238094,11.50285714285714,-0.4088884855104915,0.2995500555727846,0.03792714157456253,11.58947619047619,0.0,0.0,0.0,0.0,0.0,11.50285714285714,-55.13307984790874,-0.7699999999999996,-0.5999999999999996,-0.07726836191783777,-0.008695652173913012
42,VND,2016-11-30,11.5,11.6,11.4,11.6,1.29,132510,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,11.778571428571428,10.990661668584702,11.795827509365878,11.685714285714285,11.500000000000007,-0.392405214849072,0.29243933731758565,0.03466732790286573,11.547380952380955,0.0,0.0,0.0,0.0,0.0,11.500000000000007,-32.8884652049571,-0.781428571428572,-0.3000000000000007,-0.08327588474085279,0.017543859649122744
43,VND,2016-12-01,11.6,11.6,11.5,11.7,1.29,356160,5050634316270.0,4951687424148.0,256958791274.0,73411897303.0,0.0,98946892122.0,122074255646.0,0.0,64172261590.0,2500000000.0,5172708571916.0,3225006700723.0,0.0,94300000000.0,1947701871193.0,0.0,,,,,,,,,11.742857142857144,10.957809880815379,11.76971717478376,11.661904761904761,11.500000000000002,-0.3750191171530979,0.28583652750918664,0.03200230276877341,11.520904761904763,0.0,0.0,0.0,0.0,0.0,11.500000000000002,-32.82442748091602,-0.7828571428571465,-0.09999999999999964,-0.08173817920531928,0.0
